instance,part_name,changed,expected_change,v15_9_bbox,v15_10_bbox,v15_9_nodes,v15_10_nodes,v15_9_elements,v15_10_elements,status,notes
V15_4_TAILWATER_RIVERBED_I,V15_4_TAILWATER_RIVERBED,NO,NO,"26.500000,-87.000000,3032.100000;180.500000,-15.400000,3052.200000","26.500000,-87.000000,3032.100000;180.500000,-15.400000,3052.200000",1520,1520,702,702,PASS,v15.9 geometry retained byte-for-byte
V15_4_TAILWATER_LEFT_RETAINING_WALL_I,V15_4_TAILWATER_LEFT_RETAINING_WALL,NO,NO,"26.500000,-92.500000,3036.100000;180.500000,-88.500000,3058.000000","26.500000,-92.500000,3036.100000;180.500000,-88.500000,3058.000000",2808,2808,1694,1694,PASS,v15.9 geometry retained byte-for-byte
V15_4_TAILWATER_DOWNSTREAM_RIVERBED_I,V15_4_TAILWATER_DOWNSTREAM_RIVERBED,NO,NO,"180.500000,-87.000000,3045.000000;300.500000,-15.400000,3056.200000","180.500000,-87.000000,3045.000000;300.500000,-15.400000,3056.200000",800,800,360,360,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_01,NO,NO,"-20.000000,13.850000,3047.500000;10.000000,16.850000,3079.000000","-20.000000,13.850000,3047.500000;10.000000,16.850000,3079.000000",1360,1360,960,960,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_02,NO,NO,"-20.000000,23.850000,3047.500000;10.000000,26.850000,3079.000000","-20.000000,23.850000,3047.500000;10.000000,26.850000,3079.000000",1088,1088,720,720,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_03,NO,NO,"-20.000000,33.850000,3047.500000;10.000000,36.850000,3079.000000","-20.000000,33.850000,3047.500000;10.000000,36.850000,3079.000000",1088,1088,720,720,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_04,NO,NO,"-20.000000,43.850000,3047.500000;10.000000,46.850000,3079.000000","-20.000000,43.850000,3047.500000;10.000000,46.850000,3079.000000",1088,1088,720,720,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_05,NO,NO,"-20.000000,53.850000,3047.500000;10.000000,56.850000,3079.000000","-20.000000,53.850000,3047.500000;10.000000,56.850000,3079.000000",1088,1088,720,720,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_06,NO,NO,"-20.000000,63.850000,3047.500000;10.000000,66.850000,3079.000000","-20.000000,63.850000,3047.500000;10.000000,66.850000,3079.000000",1088,1088,720,720,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_07,NO,NO,"-20.000000,73.850000,3047.500000;10.000000,76.850000,3079.000000","-20.000000,73.850000,3047.500000;10.000000,76.850000,3079.000000",1088,1088,720,720,PASS,v15.9 geometry retained byte-for-byte
