instance,part_name,v15_8_bbox,v15_9_bbox,changed,reason,source_basis,v15_8_nodes,v15_9_nodes,v15_8_elements,v15_9_elements,status
V15_4_TAILWATER_RIVERBED_I,V15_4_TAILWATER_RIVERBED,"26.500000,-87.000000,3032.100000;180.500000,-15.400000,3052.200000","26.500000,-87.000000,3032.100000;180.500000,-15.400000,3052.200000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,1520,1520,702,702,PASS
V15_4_TAILWATER_LEFT_RETAINING_WALL_I,V15_4_TAILWATER_LEFT_RETAINING_WALL,"26.500000,-92.500000,3036.100000;180.500000,-88.500000,3058.000000","26.500000,-92.500000,3036.100000;180.500000,-88.500000,3058.000000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,2808,2808,1694,1694,PASS
V15_4_TAILWATER_DOWNSTREAM_RIVERBED_I,V15_4_TAILWATER_DOWNSTREAM_RIVERBED,"180.500000,-87.000000,3045.000000;300.500000,-15.400000,3056.200000","180.500000,-87.000000,3045.000000;300.500000,-15.400000,3056.200000",NO,preserved V15.8 geometry outside correction scope,V15.8 geometry retained,800,800,360,360,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_01,"-20.000000,27.000000,3047.500000;10.000000,30.000000,3079.000000","-20.000000,13.850000,3047.500000;10.000000,16.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,1386,1360,840,960,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_02,"-20.000000,37.000000,3047.500000;10.000000,40.000000,3079.000000","-20.000000,23.850000,3047.500000;10.000000,26.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,1386,1088,840,720,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_03,"-20.000000,47.000000,3047.500000;10.000000,50.000000,3079.000000","-20.000000,33.850000,3047.500000;10.000000,36.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,1386,1088,840,720,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_04,"-20.000000,57.000000,3047.500000;10.000000,60.000000,3079.000000","-20.000000,43.850000,3047.500000;10.000000,46.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,1386,1088,840,720,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_05,"-20.000000,67.000000,3047.500000;10.000000,70.000000,3079.000000","-20.000000,53.850000,3047.500000;10.000000,56.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,1386,1088,840,720,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_06,"-20.000000,77.000000,3047.500000;10.000000,80.000000,3079.000000","-20.000000,63.850000,3047.500000;10.000000,66.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,1386,1088,840,720,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_07,"-20.000000,87.000000,3047.500000;10.000000,90.000000,3079.000000","-20.000000,73.850000,3047.500000;10.000000,76.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,1386,1088,840,720,PASS
V15_4_SPILLWAY_LEFT_ABUTMENT_I,V15_4_SPILLWAY_LEFT_ABUTMENT,"-35.000000,16.000000,3047.500000;-20.000000,133.000000,3079.000000","-35.000000,-2.900000,3047.500000;-20.000000,6.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,9180,1683,7552,1280,PASS
V15_4_SPILLWAY_RIGHT_ABUTMENT_I,V15_4_SPILLWAY_RIGHT_ABUTMENT,"10.000000,97.000000,3047.500000;38.000000,133.000000,3079.000000","10.000000,83.850000,3047.500000;38.000000,93.600000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,4845,2805,4032,2240,PASS
V15_4_SPILLWAY_LINTEL_01_I,V15_4_SPILLWAY_LINTEL_01,"-20.000000,20.000000,3055.230000;10.000000,27.000000,3079.000000","-20.000000,6.850000,3055.230000;10.000000,13.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,6200,1664,5040,1260,PASS
V15_4_SPILLWAY_LINTEL_02_I,V15_4_SPILLWAY_LINTEL_02,"-20.000000,30.000000,3055.230000;10.000000,37.000000,3079.000000","-20.000000,16.850000,3055.230000;10.000000,23.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,6200,1664,5040,1260,PASS
V15_4_SPILLWAY_LINTEL_03_I,V15_4_SPILLWAY_LINTEL_03,"-20.000000,40.000000,3055.230000;10.000000,47.000000,3079.000000","-20.000000,26.850000,3055.230000;10.000000,33.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,6200,1664,5040,1260,PASS
V15_4_SPILLWAY_LINTEL_04_I,V15_4_SPILLWAY_LINTEL_04,"-20.000000,50.000000,3055.230000;10.000000,57.000000,3079.000000","-20.000000,36.850000,3055.230000;10.000000,43.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,6200,1664,5040,1260,PASS
V15_4_SPILLWAY_LINTEL_05_I,V15_4_SPILLWAY_LINTEL_05,"-20.000000,60.000000,3055.230000;10.000000,67.000000,3079.000000","-20.000000,46.850000,3055.230000;10.000000,53.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,6200,1664,5040,1260,PASS
V15_4_SPILLWAY_LINTEL_06_I,V15_4_SPILLWAY_LINTEL_06,"-20.000000,70.000000,3055.230000;10.000000,77.000000,3079.000000","-20.000000,56.850000,3055.230000;10.000000,63.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,6200,1664,5040,1260,PASS
V15_4_SPILLWAY_LINTEL_07_I,V15_4_SPILLWAY_LINTEL_07,"-20.000000,80.000000,3055.230000;10.000000,87.000000,3079.000000","-20.000000,66.850000,3055.230000;10.000000,73.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,6200,1664,5040,1260,PASS
