Element label,Part,Instance,Element set,Material,Section,Coordinates,Error type
806,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-119.707225000,3056.903226000;441.250000000,-118.718485600,3057.419355000",NEGATIVE_VOLUME
807,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-120.695964400,3056.919355000;441.250000000,-119.707225000,3057.435484000",NEGATIVE_VOLUME
808,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-121.684703800,3056.935484000;441.250000000,-120.695964400,3057.451613000",NEGATIVE_VOLUME
809,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-122.673443200,3056.951613000;441.250000000,-121.684703800,3057.467742000",NEGATIVE_VOLUME
810,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-123.662182700,3056.967742000;441.250000000,-122.673443200,3057.483871000",NEGATIVE_VOLUME
811,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-124.650922100,3056.983871000;441.250000000,-123.662182700,3057.500000000",NEGATIVE_VOLUME
812,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-125.639661500,3057.000000000;441.250000000,-124.650922100,3057.516129000",NEGATIVE_VOLUME
813,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-126.628400900,3057.016129000;441.250000000,-125.639661500,3057.532258000",NEGATIVE_VOLUME
814,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-127.617140400,3057.032258000;441.250000000,-126.628400900,3057.548387000",NEGATIVE_VOLUME
815,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-128.605879800,3057.048387000;441.250000000,-127.617140400,3057.564516000",NEGATIVE_VOLUME
816,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-129.594619200,3057.064516000;441.250000000,-128.605879800,3057.580645000",NEGATIVE_VOLUME
817,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-130.583358600,3057.080645000;441.250000000,-129.594619200,3057.596774000",NEGATIVE_VOLUME
818,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-131.572098000,3057.096774000;441.250000000,-130.583358600,3057.612903000",NEGATIVE_VOLUME
819,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-132.560837500,3057.112903000;441.250000000,-131.572098000,3057.629032000",NEGATIVE_VOLUME
820,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-133.549576900,3057.129032000;441.250000000,-132.560837500,3057.645161000",NEGATIVE_VOLUME
821,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-134.538316300,3057.145161000;441.250000000,-133.549576900,3057.661290000",NEGATIVE_VOLUME
822,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-135.527055700,3057.161290000;441.250000000,-134.538316300,3057.677419000",NEGATIVE_VOLUME
823,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-136.515795200,3057.177419000;441.250000000,-135.527055700,3057.693548000",NEGATIVE_VOLUME
824,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-137.504534600,3057.193548000;441.250000000,-136.515795200,3057.709677000",NEGATIVE_VOLUME
825,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-138.493274000,3057.209677000;441.250000000,-137.504534600,3057.725806000",NEGATIVE_VOLUME
826,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-139.482013400,3057.225806000;441.250000000,-138.493274000,3057.741935000",NEGATIVE_VOLUME
827,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-140.470752800,3057.241935000;441.250000000,-139.482013400,3057.758065000",NEGATIVE_VOLUME
828,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-141.459492300,3057.258065000;441.250000000,-140.470752800,3057.774194000",NEGATIVE_VOLUME
829,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-142.448231700,3057.274194000;441.250000000,-141.459492300,3057.790323000",NEGATIVE_VOLUME
830,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-143.436971100,3057.290323000;441.250000000,-142.448231700,3057.806452000",NEGATIVE_VOLUME
831,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-144.425710500,3057.306452000;441.250000000,-143.436971100,3057.822581000",NEGATIVE_VOLUME
832,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-145.414450000,3057.322581000;441.250000000,-144.425710500,3057.838710000",NEGATIVE_VOLUME
833,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-146.403189400,3057.338710000;441.250000000,-145.414450000,3057.854839000",NEGATIVE_VOLUME
834,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-147.391928800,3057.354839000;441.250000000,-146.403189400,3057.870968000",NEGATIVE_VOLUME
835,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-148.380668200,3057.370968000;441.250000000,-147.391928800,3057.887097000",NEGATIVE_VOLUME
836,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-149.369407600,3057.387097000;441.250000000,-148.380668200,3057.903226000",NEGATIVE_VOLUME
837,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-150.358147100,3057.403226000;441.250000000,-149.369407600,3057.919355000",NEGATIVE_VOLUME
838,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-151.346886500,3057.419355000;441.250000000,-150.358147100,3057.935484000",NEGATIVE_VOLUME
839,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-152.335625900,3057.435484000;441.250000000,-151.346886500,3057.951613000",NEGATIVE_VOLUME
