interface,instance_a,instance_b,boundary_face_count_a,boundary_face_count_b,true_minimum_face_distance_m,coincident_face_node_count,coincident_face_count,coincident_contact_area_m2,shared_node_count,coincident_but_not_shared_node_count,hanging_node_count,interpenetrating_element_pair_count,broad_phase_candidate_pair_count,mismatch_area_m2,maximum_face_to_face_mismatch_m,nodes_shared_or_coincident,status,notes
left_subdam_installation_bay,V15_4_LEFT_BANK_SUBDAM_I,V15_4_POWERHOUSE_INSTALLATION_BAY_I,1604,1914,0.000000000,6,20,14.028125000,0,6,14,0,0,8025.806875000,0.000000000,COINCIDENT_NOT_SHARED,PASS,boundary mesh faces and convex element geometry; AABB only broad-phase filter
installation_bay_powerhouse_unit_01,V15_4_POWERHOUSE_INSTALLATION_BAY_I,V15_4_POWERHOUSE_UNIT_01_I,1914,7600,0.000000000,48,159,89.547500000,0,48,111,0,0,12361.752500000,0.000000000,COINCIDENT_NOT_SHARED,PASS,boundary mesh faces and convex element geometry; AABB only broad-phase filter
left_subdam_engineered_backfill,V15_4_LEFT_BANK_SUBDAM_I,V15_11_LEFT_COMPACTED_SAND_GRAVEL_I,1604,2236,0.000000000,152,464,473.875000000,0,152,290,0,0,6925.221000000,0.000000000,COINCIDENT_NOT_SHARED,PASS,boundary mesh faces and convex element geometry; AABB only broad-phase filter
installation_engineered_backfill,V15_4_POWERHOUSE_INSTALLATION_BAY_I,V15_11_LEFT_COMPACTED_SAND_GRAVEL_I,1914,2236,0.000000000,27,74,115.002750000,0,27,79,0,0,7924.832250000,0.000000000,COINCIDENT_NOT_SHARED,PASS,boundary mesh faces and convex element geometry; AABB only broad-phase filter
engineered_backfill_retained_geology,V15_11_LEFT_COMPACTED_SAND_GRAVEL_I,V15_7_FOUNDATION_GEOLOGY_I,2236,344,0.000000000,157,129,312.041875000,0,157,180,0,0,7087.054125000,0.000000000,COINCIDENT_NOT_SHARED,PASS,boundary mesh faces and convex element geometry; AABB only broad-phase filter
