Instance,Part,Element count,C3D8 bad count,Min Jacobian,Max Jacobian,Volume status,Status
V15_4_SPILLWAY_CHUTE_SLAB_I,V15_4_SPILLWAY_CHUTE_SLAB,2730,0,0.309294871,0.309294873,ALL_POSITIVE,PASS
V15_4_SPILLWAY_STILLING_BASIN_I,V15_4_SPILLWAY_STILLING_BASIN,8385,0,0.384820349,0.384820366,ALL_POSITIVE,PASS
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION_I,V15_4_SPILLWAY_DOWNSTREAM_PROTECTION,9360,0,0.773237178,0.773237181,ALL_POSITIVE,PASS
V15_4_ECO_RELEASE_BASE_I,V15_4_ECO_RELEASE_BASE,1820,0,0.167410637,0.167410819,ALL_POSITIVE,PASS
V15_4_ECO_RELEASE_LEFT_I,V15_4_ECO_RELEASE_LEFT_PIER,2520,0,0.093750000,0.093750000,ALL_POSITIVE,PASS
V15_4_ECO_RELEASE_CENTRAL_I,V15_4_ECO_RELEASE_CENTRAL_PIER,2100,0,0.093750000,0.093750000,ALL_POSITIVE,PASS
V15_4_ECO_RELEASE_RIGHT_I,V15_4_ECO_RELEASE_RIGHT_PIER,2100,0,0.075000000,0.075000000,ALL_POSITIVE,PASS
V15_4_ECO_RELEASE_LINTEL_01_I,V15_4_ECO_RELEASE_LINTEL_01,1600,0,0.093750000,0.093750000,ALL_POSITIVE,PASS
V15_4_ECO_RELEASE_LINTEL_02_I,V15_4_ECO_RELEASE_LINTEL_02,1600,0,0.093750000,0.093750000,ALL_POSITIVE,PASS
V15_4_ECO_RELEASE_TOP_CAP_I,V15_4_ECO_RELEASE_TOP_CAP,572,0,0.087412587,0.087412589,ALL_POSITIVE,PASS
V15_4_ECO_RELEASE_APPROACH_SLAB_I,V15_4_ECO_RELEASE_APPROACH_SLAB,2080,0,0.180288461,0.180288463,ALL_POSITIVE,PASS
V15_4_ECO_RELEASE_OUTLET_SLAB_I,V15_4_ECO_RELEASE_OUTLET_SLAB,338,0,0.060096154,0.060096154,ALL_POSITIVE,PASS
V15_4_ECO_RELEASE_LINK_TO_BASIN_I,V15_4_ECO_RELEASE_LINK_TO_BASIN,260,0,0.060937500,0.060937500,ALL_POSITIVE,PASS
V15_4_LEFT_BANK_SUBDAM_I,V15_4_LEFT_BANK_SUBDAM,2280,0,0.606219548,1.093750000,ALL_POSITIVE,PASS
V15_4_FISHWAY_I,V15_4_FISHWAY,4164,0,0.061760144,0.156250000,ALL_POSITIVE,PASS
V15_4_FISHWAY_OUTLET_CHAMBER_I,V15_4_FISHWAY_OUTLET_CHAMBER,400,0,0.062500000,0.125000000,ALL_POSITIVE,PASS
V15_4_FISHWAY_UPSTREAM_OUTLET_I,V15_4_FISHWAY_UPSTREAM_OUTLET,760,0,0.123585525,0.123585538,ALL_POSITIVE,PASS
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01,1760,0,0.015625000,0.062500000,ALL_POSITIVE,PASS
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02,1760,0,0.015625000,0.062500000,ALL_POSITIVE,PASS
V15_7_FOUNDATION_GEOLOGY_I,V15_7_FOUNDATION_GEOLOGY,591321,0,0.095735845,140159.699176714,ALL_POSITIVE,PASS
V15_13_ANTI_SEEPAGE_CHAIN_I,V15_13_ANTI_SEEPAGE_CHAIN,10,0,26.492041765,420.068368065,ALL_POSITIVE,PASS
