structure,instance,global_bbox,x_upstream_downstream,y_left_right,z_extent,source_design_basis,coordinate_interpretation,confidence
left_bank_subdam,V15_4_LEFT_BANK_SUBDAM_I,"-70.850000000,-245.700000000,3059.000000000;-56.000000000,-156.000000000,3079.000000000",-70.850000000..-56.000000000,-245.700000000..-156.000000000,3059.000000000..3079.000000000,actual final-INP transformed node coordinates,X streamwise; Y dam-axis; Z elevation,VERIFIED
installation_bay,V15_4_POWERHOUSE_INSTALLATION_BAY_I,"-64.000000000,-156.000000000,3056.465000000;-7.500000000,-122.000000000,3079.000000000",-64.000000000..-7.500000000,-156.000000000..-122.000000000,3056.465000000..3079.000000000,actual final-INP transformed node coordinates,X streamwise; Y dam-axis; Z elevation,VERIFIED
powerhouse_unit_01,V15_4_POWERHOUSE_UNIT_01_I,"-30.000000000,-122.000000000,3029.700000000;26.500000000,-95.350000000,3081.000000000",-30.000000000..26.500000000,-122.000000000..-95.350000000,3029.700000000..3081.000000000,actual final-INP transformed node coordinates,X streamwise; Y dam-axis; Z elevation,VERIFIED
ecological_release,V15_4_ECO_RELEASE_BASE_I,"-35.000000000,-15.400000000,3051.500000000;-5.000000000,-2.900000000,3058.000000000",-35.000000000..-5.000000000,-15.400000000..-2.900000000,3051.500000000..3058.000000000,actual final-INP transformed node coordinates,X streamwise; Y dam-axis; Z elevation,VERIFIED
spillway_left_abutment,V15_4_SPILLWAY_LEFT_ABUTMENT_I,"-35.000000000,-2.900000000,3047.500000000;-20.000000000,6.850000000,3079.000000000",-35.000000000..-20.000000000,-2.900000000..6.850000000,3047.500000000..3079.000000000,actual final-INP transformed node coordinates,X streamwise; Y dam-axis; Z elevation,VERIFIED
spillway_right_abutment,V15_4_SPILLWAY_RIGHT_ABUTMENT_I,"10.000000000,83.850000000,3047.500000000;38.000000000,93.600000000,3079.000000000",10.000000000..38.000000000,83.850000000..93.600000000,3047.500000000..3079.000000000,actual final-INP transformed node coordinates,X streamwise; Y dam-axis; Z elevation,VERIFIED
main_cutoff,P25_SOLID_CUTOFF_WALL_F13-1,"-36.000000000,150.000038331,3021.000000000;-35.000000000,445.000038997,3073.510003743",-36.000000000..-35.000000000,150.000038331..445.000038997,3021.000000000..3073.510003743,actual final-INP transformed node coordinates,X streamwise; Y dam-axis; Z elevation,VERIFIED
geomembrane,V12_UPSTREAM_GEOMEMBRANE-1,"-90.500000000,150.000000000,3055.000000000;-36.000000000,445.000000000,3073.510000000",-90.500000000..-36.000000000,150.000000000..445.000000000,3055.000000000..3073.510000000,actual final-INP transformed node coordinates,X streamwise; Y dam-axis; Z elevation,VERIFIED
foundation_geology,V15_7_FOUNDATION_GEOLOGY_I,"-600.000000000,-1000.000000000,2600.000000000;900.000000000,850.000000000,3426.400000000",-600.000000000..900.000000000,-1000.000000000..850.000000000,2600.000000000..3426.400000000,actual final-INP transformed node coordinates,X streamwise; Y dam-axis; Z elevation,VERIFIED
