backfill_face_key,backfill_element,overlap_candidate_count,status
"((-66750000, -160000000, 3053565000), (-66750000, -160000000, 3056465000), (-64000000, -160000000, 3053565000), (-64000000, -160000000, 3056465000))",591798,2,NONCONFORMING_PARTIAL_FACE
"((-66750000, -160000000, 3053565000), (-66750000, -160000000, 3056465000), (-66750000, -120000000, 3053565000), (-66750000, -120000000, 3056465000))",591798,5,NONCONFORMING_PARTIAL_FACE
"((-64000000, -160000000, 3053550000), (-64000000, -160000000, 3056465000), (-61750000, -160000000, 3053550000), (-61750000, -160000000, 3056465000))",591800,2,NONCONFORMING_PARTIAL_FACE
"((-61750000, -160000000, 3053550000), (-61750000, -160000000, 3056465000), (-61750000, -122000000, 3053550000), (-61750000, -122000000, 3056465000))",591800,5,NONCONFORMING_PARTIAL_FACE
"((-64000000, -122000000, 3025040000), (-64000000, -122000000, 3056465000), (-61750000, -122000000, 3025040000), (-61750000, -122000000, 3056465000))",591801,1053,NONCONFORMING_PARTIAL_FACE
"((-64000000, -122000000, 3025040000), (-64000000, -122000000, 3056465000), (-64000000, -120000000, 3025040000), (-64000000, -120000000, 3056465000))",591801,319,NONCONFORMING_PARTIAL_FACE
"((-61750000, -135000000, 3053535000), (-61750000, -135000000, 3056465000), (-59500000, -135000000, 3053535000), (-59500000, -135000000, 3056465000))",591803,266,NONCONFORMING_PARTIAL_FACE
"((-61750000, -122000000, 3025030000), (-61750000, -122000000, 3056465000), (-59500000, -122000000, 3025030000), (-59500000, -122000000, 3056465000))",591804,1053,NONCONFORMING_PARTIAL_FACE
