instance,part,role,global_bbox,centroid,nearest_named_neighbors,transformed_source,status
V12_UPSTREAM_GEOMEMBRANE-1,V15_5_REFINED_V12_UPSTREAM_GEOMEMBRANE_1,geomembrane_barrier,"-90.500000000,150.000000000,3055.000000000;-35.500000000,445.000000000,3073.510000000","-63.000000000,297.500000000,3064.255000000",P25_SOLID_CUTOFF_WALL_F13-1 (0.000000 m);P25_SOLID_IMPERMEABLE_FILL_F12-1 (0.000000 m);P25_SOLID_MAIN_ROCKFILL_F09-1 (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_POWERHOUSE_UNIT_01_I,V15_4_POWERHOUSE_UNIT_01,powerhouse_or_installation,"-30.000000000,-122.000000000,3029.700000000;26.500000000,-95.350000000,3081.000000000","-1.750000000,-108.675000000,3055.350000000",V15_4_FISHWAY_I (0.000000 m);V15_4_POWERHOUSE_INSTALLATION_BAY_I (0.000000 m);V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_POWERHOUSE_UNIT_02_I,V15_4_POWERHOUSE_UNIT_02,powerhouse_or_installation,"-30.000000000,-95.350000000,3029.700000000;26.500000000,-68.700000000,3081.000000000","-1.750000000,-82.025000000,3055.350000000",V15_4_FISHWAY_I (0.000000 m);V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01_I (0.000000 m);V15_4_POWERHOUSE_UNIT_01_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_POWERHOUSE_UNIT_03_I,V15_4_POWERHOUSE_UNIT_03,powerhouse_or_installation,"-30.000000000,-68.700000000,3029.700000000;26.500000000,-42.050000000,3081.000000000","-1.750000000,-55.375000000,3055.350000000",V15_4_FISHWAY_I (0.000000 m);V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02_I (0.000000 m);V15_4_POWERHOUSE_UNIT_02_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_POWERHOUSE_UNIT_04_I,V15_4_POWERHOUSE_UNIT_04,powerhouse_or_installation,"-30.000000000,-42.050000000,3029.700000000;26.500000000,-15.400000000,3081.000000000","-1.750000000,-28.725000000,3055.350000000",V15_4_ECO_RELEASE_APPROACH_SLAB_I (0.000000 m);V15_4_ECO_RELEASE_BASE_I (0.000000 m);V15_4_ECO_RELEASE_LEFT_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_POWERHOUSE_INSTALLATION_BAY_I,V15_4_POWERHOUSE_INSTALLATION_BAY,powerhouse_or_installation,"-64.000000000,-156.000000000,3056.465000000;-7.500000000,-122.000000000,3079.000000000","-35.750000000,-139.000000000,3067.732500000",V15_11_LEFT_COMPACTED_SAND_GRAVEL_I (0.000000 m);V15_4_FISHWAY_I (0.000000 m);V15_4_LEFT_BANK_SUBDAM_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_TAILWATER_CHANNEL_I,V15_4_TAILWATER_CHANNEL,tailwater,"26.500000000,-87.000000000,3036.100000000;180.500000000,-15.400000000,3053.000000000","103.500000000,-51.200000000,3044.550000000",V15_4_ECO_RELEASE_OUTLET_SLAB_I (0.000000 m);V15_4_FISHWAY_I (0.000000 m);V15_4_POWERHOUSE_UNIT_02_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_TAILWATER_RIVERBED_I,V15_4_TAILWATER_RIVERBED,tailwater,"26.500000000,-87.000000000,3032.100000000;180.500000000,-15.400000000,3052.200000000","103.500000000,-51.200000000,3042.150000000",V15_4_ECO_RELEASE_OUTLET_SLAB_I (0.000000 m);V15_4_POWERHOUSE_UNIT_02_I (0.000000 m);V15_4_POWERHOUSE_UNIT_03_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_TAILWATER_LEFT_RETAINING_WALL_I,V15_4_TAILWATER_LEFT_RETAINING_WALL,tailwater,"26.500000000,-92.500000000,3036.100000000;180.500000000,-88.500000000,3058.000000000","103.500000000,-90.500000000,3047.050000000",V15_4_FISHWAY_I (0.000000 m);V15_4_POWERHOUSE_UNIT_02_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_TAILWATER_DOWNSTREAM_RIVERBED_I,V15_4_TAILWATER_DOWNSTREAM_RIVERBED,tailwater,"180.500000000,-87.000000000,3045.000000000;300.500000000,-15.400000000,3056.200000000","240.500000000,-51.200000000,3050.600000000",V15_4_FISHWAY_I (0.000000 m);V15_4_TAILWATER_CHANNEL_I (0.000000 m);V15_4_TAILWATER_RIVERBED_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
