instance,part,role,global_bbox,centroid,nearest_named_neighbors,transformed_source,status
V15_4_ECO_RELEASE_APPROACH_SLAB_I,V15_4_ECO_RELEASE_APPROACH_SLAB,ecological_release,"-5.000000000,-15.400000000,3050.000000000;25.000000000,-2.900000000,3058.000000000","10.000000000,-9.150000000,3054.000000000",V15_4_ECO_RELEASE_BASE_I (0.000000 m);V15_4_ECO_RELEASE_CENTRAL_I (0.000000 m);V15_4_ECO_RELEASE_LEFT_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_ECO_RELEASE_OUTLET_SLAB_I,V15_4_ECO_RELEASE_OUTLET_SLAB,ecological_release,"25.000000000,-15.400000000,3050.000000000;38.000000000,-2.900000000,3051.000000000","31.500000000,-9.150000000,3050.500000000",V15_4_ECO_RELEASE_APPROACH_SLAB_I (0.000000 m);V15_4_ECO_RELEASE_LINK_TO_BASIN_I (0.000000 m);V15_4_POWERHOUSE_UNIT_04_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_ECO_RELEASE_LINK_TO_BASIN_I,V15_4_ECO_RELEASE_LINK_TO_BASIN,ecological_release,"25.000000000,-2.900000000,3049.000000000;38.000000000,6.850000000,3050.000000000","31.500000000,1.975000000,3049.500000000",V15_4_ECO_RELEASE_APPROACH_SLAB_I (0.000000 m);V15_4_ECO_RELEASE_OUTLET_SLAB_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_LEFT_BANK_SUBDAM_I,V15_4_LEFT_BANK_SUBDAM,structural_concrete,"-70.850000000,-245.700000000,3059.000000000;-56.000000000,-156.000000000,3079.000000000","-63.425000000,-200.850000000,3069.000000000",V15_11_LEFT_COMPACTED_SAND_GRAVEL_I (0.000000 m);V15_4_FISHWAY_I (0.000000 m);V15_4_POWERHOUSE_INSTALLATION_BAY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_FISHWAY_I,V15_4_FISHWAY,fishway,"-68.850000000,-641.243955700,3053.000000000;441.250000000,-58.873689690,3076.000000000","186.200000000,-350.058822695,3064.500000000",V15_11_LEFT_COMPACTED_SAND_GRAVEL_I (0.000000 m);V15_4_FISHWAY_OUTLET_CHAMBER_I (0.000000 m);V15_4_FISHWAY_UPSTREAM_OUTLET_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_FISHWAY_OUTLET_CHAMBER_I,V15_4_FISHWAY_OUTLET_CHAMBER,fishway,"-52.850000000,-503.678955900,3072.000000000;-48.850000000,-483.678955900,3078.000000000","-50.850000000,-493.678955900,3075.000000000",V15_4_FISHWAY_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m);V15_4_FISHWAY_UPSTREAM_OUTLET_I (137.565000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_FISHWAY_UPSTREAM_OUTLET_I,V15_4_FISHWAY_UPSTREAM_OUTLET,fishway,"-52.850000000,-678.813955700,3074.000000000;-48.850000000,-641.243955700,3079.000000000","-50.850000000,-660.028955700,3076.500000000",V15_4_FISHWAY_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m);V15_4_FISHWAY_OUTLET_CHAMBER_I (137.565000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01,powerhouse_or_installation,"-30.000000000,-96.600000000,3037.000000000;24.000000000,-94.100000000,3046.000000000","-3.000000000,-95.350000000,3041.500000000",V15_4_POWERHOUSE_UNIT_01_I (0.000000 m);V15_4_POWERHOUSE_UNIT_02_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02,powerhouse_or_installation,"-30.000000000,-43.300000000,3037.000000000;24.000000000,-40.800000000,3046.000000000","-3.000000000,-42.050000000,3041.500000000",V15_4_POWERHOUSE_UNIT_03_I (0.000000 m);V15_4_POWERHOUSE_UNIT_04_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_7_FOUNDATION_GEOLOGY_I,V15_7_FOUNDATION_GEOLOGY,foundation_geology,"-600.000000000,-1000.000000000,2600.000000000;900.000000000,850.000000000,3426.400000000","150.000000000,-75.000000000,3013.200000000",P25_SOLID_CUTOFF_WALL_F13-1 (0.000000 m);P25_SOLID_DAM_SHELL_GRAVEL_F02-1 (0.000000 m);P25_SOLID_DAM_SHELL_GRAVEL_F06-1 (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_11_LEFT_COMPACTED_SAND_GRAVEL_I,V15_11_LEFT_COMPACTED_SAND_GRAVEL,engineered_backfill,"-70.850000000,-245.700000000,3025.030000000;-55.850000000,-120.000000000,3059.000000000","-63.350000000,-182.850000000,3042.015000000",V15_4_FISHWAY_I (0.000000 m);V15_4_LEFT_BANK_SUBDAM_I (0.000000 m);V15_4_POWERHOUSE_INSTALLATION_BAY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_12_LEFT_BANK_CUTOFF_WALL_I,V15_12_LEFT_BANK_CUTOFF_WALL,cutoff_wall,"-36.000000000,70.000000000,3021.000000000;-35.000000000,150.000000000,3073.510000000","-35.500000000,110.000000000,3047.255000000",V12_UPSTREAM_GEOMEMBRANE-1 (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m);P25_SOLID_CUTOFF_WALL_F13-1 (0.000038 m),INP *Instance placement: identity (no data rows),PASS
