instance,part,translation,axis_point_1,axis_point_2,angle_deg,placement_rows,transform_source,global_bbox,node_count,element_count,element_types,status
V15_4_TAILWATER_CHANNEL_I,V15_4_TAILWATER_CHANNEL,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"26.500000000,-87.000000000,3036.100000000;180.500000000,-15.400000000,3053.000000000",3780,1798,C3D8R,PASS
V15_4_TAILWATER_RIVERBED_I,V15_4_TAILWATER_RIVERBED,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"26.500000000,-87.000000000,3032.100000000;180.500000000,-15.400000000,3052.200000000",1520,702,C3D8R,PASS
V15_4_TAILWATER_LEFT_RETAINING_WALL_I,V15_4_TAILWATER_LEFT_RETAINING_WALL,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"26.500000000,-92.500000000,3036.100000000;180.500000000,-88.500000000,3058.000000000",2808,1694,C3D8R,PASS
V15_4_TAILWATER_DOWNSTREAM_RIVERBED_I,V15_4_TAILWATER_DOWNSTREAM_RIVERBED,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"180.500000000,-87.000000000,3045.000000000;300.500000000,-15.400000000,3056.200000000",800,360,C3D8R,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_01,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,13.850000000,3047.500000000;10.000000000,16.850000000,3079.000000000",1360,960,C3D8R,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_02,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,23.850000000,3047.500000000;10.000000000,26.850000000,3079.000000000",1088,720,C3D8R,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_03,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,33.850000000,3047.500000000;10.000000000,36.850000000,3079.000000000",1088,720,C3D8R,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_04,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,43.850000000,3047.500000000;10.000000000,46.850000000,3079.000000000",1088,720,C3D8R,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_05,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,53.850000000,3047.500000000;10.000000000,56.850000000,3079.000000000",1088,720,C3D8R,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_06,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,63.850000000,3047.500000000;10.000000000,66.850000000,3079.000000000",1088,720,C3D8R,PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_07,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,73.850000000,3047.500000000;10.000000000,76.850000000,3079.000000000",1088,720,C3D8R,PASS
V15_4_SPILLWAY_LEFT_ABUTMENT_I,V15_4_SPILLWAY_LEFT_ABUTMENT,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-35.000000000,-2.900000000,3047.500000000;-20.000000000,6.850000000,3079.000000000",1683,1280,C3D8R,PASS
V15_4_SPILLWAY_RIGHT_ABUTMENT_I,V15_4_SPILLWAY_RIGHT_ABUTMENT,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"10.000000000,83.850000000,3047.500000000;38.000000000,93.600000000,3079.000000000",2805,2240,C3D8R,PASS
V15_4_SPILLWAY_LINTEL_01_I,V15_4_SPILLWAY_LINTEL_01,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,6.850000000,3055.230000000;10.000000000,13.850000000,3079.000000000",1664,1260,C3D8R,PASS
V15_4_SPILLWAY_LINTEL_02_I,V15_4_SPILLWAY_LINTEL_02,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,16.850000000,3055.230000000;10.000000000,23.850000000,3079.000000000",1664,1260,C3D8R,PASS
V15_4_SPILLWAY_LINTEL_03_I,V15_4_SPILLWAY_LINTEL_03,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,26.850000000,3055.230000000;10.000000000,33.850000000,3079.000000000",1664,1260,C3D8R,PASS
V15_4_SPILLWAY_LINTEL_04_I,V15_4_SPILLWAY_LINTEL_04,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,36.850000000,3055.230000000;10.000000000,43.850000000,3079.000000000",1664,1260,C3D8R,PASS
V15_4_SPILLWAY_LINTEL_05_I,V15_4_SPILLWAY_LINTEL_05,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,46.850000000,3055.230000000;10.000000000,53.850000000,3079.000000000",1664,1260,C3D8R,PASS
V15_4_SPILLWAY_LINTEL_06_I,V15_4_SPILLWAY_LINTEL_06,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,56.850000000,3055.230000000;10.000000000,63.850000000,3079.000000000",1664,1260,C3D8R,PASS
V15_4_SPILLWAY_LINTEL_07_I,V15_4_SPILLWAY_LINTEL_07,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,66.850000000,3055.230000000;10.000000000,73.850000000,3079.000000000",1664,1260,C3D8R,PASS
V15_4_SPILLWAY_LINTEL_08_I,V15_4_SPILLWAY_LINTEL_08,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-20.000000000,76.850000000,3055.230000000;10.000000000,83.850000000,3079.000000000",1664,1260,C3D8R,PASS
V15_4_SPILLWAY_CHUTE_SLAB_I,V15_4_SPILLWAY_CHUTE_SLAB,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"10.000000000,-2.900000000,3045.000000000;38.000000000,93.600000000,3047.500000000",3600,2730,C3D8R,PASS
V15_4_SPILLWAY_STILLING_BASIN_I,V15_4_SPILLWAY_STILLING_BASIN,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"38.000000000,-2.900000000,3045.000000000;145.000000000,93.600000000,3047.500000000",10560,8385,C3D8R,PASS
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION_I,V15_4_SPILLWAY_DOWNSTREAM_PROTECTION,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"145.000000000,-2.900000000,3037.000000000;245.000000000,93.600000000,3043.000000000",11480,9360,C3D8R,PASS
V15_4_ECO_RELEASE_BASE_I,V15_4_ECO_RELEASE_BASE,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-35.000000000,-15.400000000,3051.500000000;-5.000000000,-2.900000000,3058.000000000",2352,1820,C3D8R,PASS
V15_4_ECO_RELEASE_LEFT_I,V15_4_ECO_RELEASE_LEFT_PIER,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-35.000000000,-15.400000000,3058.000000000;-5.000000000,-12.400000000,3079.000000000",3234,2520,C3D8R,PASS
V15_4_ECO_RELEASE_CENTRAL_I,V15_4_ECO_RELEASE_CENTRAL_PIER,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-35.000000000,-9.900000000,3058.000000000;-5.000000000,-7.400000000,3079.000000000",2772,2100,C3D8R,PASS
V15_4_ECO_RELEASE_RIGHT_I,V15_4_ECO_RELEASE_RIGHT_PIER,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-35.000000000,-4.900000000,3058.000000000;-5.000000000,-2.900000000,3079.000000000",2772,2100,C3D8R,PASS
V15_4_ECO_RELEASE_LINTEL_01_I,V15_4_ECO_RELEASE_LINTEL_01,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-35.000000000,-12.400000000,3063.000000000;-5.000000000,-9.900000000,3079.000000000",2142,1600,C3D8R,PASS
V15_4_ECO_RELEASE_LINTEL_02_I,V15_4_ECO_RELEASE_LINTEL_02,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-35.000000000,-7.400000000,3063.000000000;-5.000000000,-4.900000000,3079.000000000",2142,1600,C3D8R,PASS
V15_4_ECO_RELEASE_TOP_CAP_I,V15_4_ECO_RELEASE_TOP_CAP,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-35.000000000,-15.400000000,3077.000000000;-19.000000000,-2.900000000,3079.000000000",840,572,C3D8R,PASS
