instance,part,group,x_min,x_max,y_min,y_max,z_min,z_max,length_x,length_y,height_z,status
RIGHT_R04_Q3AL_V_I,RIGHT_R04_Q3AL_V,RETAINED_GEOLOGY,-600.000,900.000,445.000,850.000,3059.400,3423.400,1500.000,405.000,364.000,RETAINED
RIGHT_HIGH_TERRACE_COVER_I,RIGHT_HIGH_TERRACE_COVER,RETAINED_GEOLOGY,-600.000,900.000,615.000,790.000,3271.733,3398.200,1500.000,175.000,126.467,RETAINED
RIGHT_ROCK_STRONG_UNLOADED_I,RIGHT_ROCK_STRONG_UNLOADED,RETAINED_GEOLOGY,-600.000,900.000,445.000,850.000,3029.400,3376.400,1500.000,405.000,347.000,RETAINED
RIGHT_ROCK_WEAK_UNLOADED_I,RIGHT_ROCK_WEAK_UNLOADED,RETAINED_GEOLOGY,-600.000,900.000,445.000,850.000,3014.400,3346.400,1500.000,405.000,332.000,RETAINED
RIGHT_ROCK_DEEP_UNLOADED_I,RIGHT_ROCK_DEEP_UNLOADED,RETAINED_GEOLOGY,-600.000,900.000,445.000,850.000,2884.400,3331.400,1500.000,405.000,447.000,RETAINED
RIGHT_FRESH_GRANITE_I,RIGHT_FRESH_GRANITE,RETAINED_GEOLOGY,-600.000,900.000,445.000,850.000,2600.000,3201.400,1500.000,405.000,601.400,RETAINED
P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DRAINAGE_BODY_F00,RETAINED_CONTEXT,25.475,42.000,3055.000,3062.036,0.000,295.000,16.525,7.036,295.000,RETAINED
P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_FILTER_LAYER_F01,RETAINED_CONTEXT,-20.815,26.062,3055.000,3075.797,0.000,295.000,46.877,20.797,295.000,RETAINED
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F02,RETAINED_CONTEXT,-28.500,29.937,3057.776,3077.649,0.000,295.000,58.437,19.873,295.000,RETAINED
P25_SOLID_DRAINAGE_BODY_F03-1,P25_SOLID_DRAINAGE_BODY_F03,RETAINED_CONTEXT,-19.817,27.236,3055.925,3075.797,0.000,295.000,47.053,19.872,295.000,RETAINED
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,P25_SOLID_DAM_SHELL_GRAVEL_F06,RETAINED_CONTEXT,-34.500,-10.493,3055.871,3071.660,0.000,295.000,24.007,15.790,295.000,RETAINED
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,P25_SOLID_DAM_SHELL_GRAVEL_F08,RETAINED_CONTEXT,-34.500,44.486,3055.000,3079.500,0.000,295.000,78.986,24.500,295.000,RETAINED
P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_MAIN_ROCKFILL_F09,RETAINED_CONTEXT,-72.342,-36.500,3057.777,3071.660,0.000,295.000,35.842,13.884,295.000,RETAINED
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,RETAINED_CONTEXT,-80.500,-50.628,3058.074,3063.389,0.000,295.000,29.872,5.315,295.000,RETAINED
P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_MAIN_ROCKFILL_F11,RETAINED_CONTEXT,-87.500,-66.000,3058.702,3067.032,0.000,295.000,21.500,8.330,295.000,RETAINED
P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,RETAINED_CONTEXT,-90.500,-36.500,3059.165,3073.511,0.000,295.000,54.000,14.346,295.000,RETAINED
P25_SOLID_CUTOFF_WALL_F13-1,P25_SOLID_CUTOFF_WALL_F13,RETAINED_CONTEXT,-36.000,-35.000,3021.000,3073.511,0.000,295.000,1.000,52.511,295.000,RETAINED
V12_UPSTREAM_GEOMEMBRANE-1,V12_UPSTREAM_GEOMEMBRANE,RETAINED_CONTEXT,-90.500,-35.500,150.000,445.000,3055.000,3073.511,55.000,295.000,18.511,RETAINED
V15_3_POWERHOUSE_UNIT_01_I,V15_3_POWERHOUSE_UNIT_01,POWERHOUSE,-30.000,26.500,-122.000,-95.350,3029.700,3081.000,56.500,26.650,51.300,NEW_V15_3_GEOMETRY
V15_3_POWERHOUSE_UNIT_02_I,V15_3_POWERHOUSE_UNIT_02,POWERHOUSE,-30.000,26.500,-95.350,-68.700,3029.700,3081.000,56.500,26.650,51.300,NEW_V15_3_GEOMETRY
V15_3_POWERHOUSE_UNIT_03_I,V15_3_POWERHOUSE_UNIT_03,POWERHOUSE,-30.000,26.500,-68.700,-42.050,3029.700,3081.000,56.500,26.650,51.300,NEW_V15_3_GEOMETRY
V15_3_POWERHOUSE_UNIT_04_I,V15_3_POWERHOUSE_UNIT_04,POWERHOUSE,-30.000,26.500,-42.050,-15.400,3029.700,3081.000,56.500,26.650,51.300,NEW_V15_3_GEOMETRY
V15_3_POWERHOUSE_INSTALLATION_BAY_I,V15_3_POWERHOUSE_INSTALLATION_BAY,INSTALLATION_BAY,-64.000,-30.000,-122.000,-15.400,3056.465,3079.000,34.000,106.600,22.535,NEW_V15_3_GEOMETRY
V15_3_TAILWATER_CHANNEL_I,V15_3_TAILWATER_CHANNEL,TAILWATER,26.500,180.500,-87.000,-15.400,3036.100,3053.000,154.000,71.600,16.900,NEW_V15_3_GEOMETRY
V15_3_TAILWATER_RIVERBED_I,V15_3_TAILWATER_RIVERBED,TAILWATER,26.500,180.500,-87.000,-15.400,3032.100,3052.200,154.000,71.600,20.100,NEW_V15_3_GEOMETRY
V15_3_TAILWATER_LEFT_RETAINING_WALL_I,V15_3_TAILWATER_LEFT_RETAINING_WALL,TAILWATER,26.500,180.500,-92.500,-88.500,3036.100,3058.000,154.000,4.000,21.900,NEW_V15_3_GEOMETRY
V15_3_TAILWATER_DOWNSTREAM_RIVERBED_I,V15_3_TAILWATER_DOWNSTREAM_RIVERBED,NATURAL_RIVERBED,180.500,300.500,-87.000,-15.400,3045.000,3056.200,120.000,71.600,11.200,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_PIER_00_I,V15_3_SPILLWAY_PIER_00,SPILLWAY,-20.000,10.000,16.000,20.000,3047.500,3079.000,30.000,4.000,31.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_PIER_01_I,V15_3_SPILLWAY_PIER_01,SPILLWAY,-20.000,10.000,27.000,30.000,3047.500,3079.000,30.000,3.000,31.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_PIER_02_I,V15_3_SPILLWAY_PIER_02,SPILLWAY,-20.000,10.000,37.000,40.000,3047.500,3079.000,30.000,3.000,31.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_PIER_03_I,V15_3_SPILLWAY_PIER_03,SPILLWAY,-20.000,10.000,47.000,50.000,3047.500,3079.000,30.000,3.000,31.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_PIER_04_I,V15_3_SPILLWAY_PIER_04,SPILLWAY,-20.000,10.000,57.000,60.000,3047.500,3079.000,30.000,3.000,31.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_PIER_05_I,V15_3_SPILLWAY_PIER_05,SPILLWAY,-20.000,10.000,67.000,70.000,3047.500,3079.000,30.000,3.000,31.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_PIER_06_I,V15_3_SPILLWAY_PIER_06,SPILLWAY,-20.000,10.000,77.000,80.000,3047.500,3079.000,30.000,3.000,31.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_PIER_07_I,V15_3_SPILLWAY_PIER_07,SPILLWAY,-20.000,10.000,87.000,90.000,3047.500,3079.000,30.000,3.000,31.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_PIER_08_I,V15_3_SPILLWAY_PIER_08,SPILLWAY,-20.000,10.000,97.000,133.000,3047.500,3079.000,30.000,36.000,31.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_LEFT_GUIDE_WALL_I,V15_3_SPILLWAY_LEFT_GUIDE_WALL,SPILLWAY,-35.000,-20.000,16.000,133.000,3047.500,3079.000,15.000,117.000,31.500,NEW_V15_3_GEOMETRY
