instance,part,mesh_class,nodes,elements,source_nodes,source_elements,delta_nodes,delta_elements,remeshed,bbox
RIGHT_ROCK_DEEP_UNLOADED_I,V15_5_REFINED_RIGHT_ROCK_DEEP_UNLOADED_I,M3_M4_GEOLOGY,887,581,840,560,47,21,YES,"-600.000000,445.000000,2884.399900;900.000000,850.000000,3331.399900"
RIGHT_FRESH_GRANITE_I,RIGHT_FRESH_GRANITE,M3_M4_GEOLOGY,1008,700,1008,700,0,0,NO,"-600.000000,445.000000,2600.000000;900.000000,850.000000,3201.399900"
P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DRAINAGE_BODY_F00,RETAINED_CONTEXT,975,518,975,518,0,0,NO,"25.475098,3055.000000,0.000000;42.000000,3062.036380,295.000000"
P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_FILTER_LAYER_F01,RETAINED_CONTEXT,2625,1480,2625,1480,0,0,NO,"-20.815062,3055.000000,0.000000;26.061798,3075.797360,295.000000"
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F02,RETAINED_CONTEXT,5850,4292,5850,4292,0,0,NO,"-28.500000,3057.776370,0.000000;29.937306,3077.648930,295.000000"
P25_SOLID_DRAINAGE_BODY_F03-1,P25_SOLID_DRAINAGE_BODY_F03,RETAINED_CONTEXT,2550,1184,2550,1184,0,0,NO,"-19.817207,3055.925050,0.000000;27.235750,3075.797360,295.000000"
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,P25_SOLID_DAM_SHELL_GRAVEL_F06,RETAINED_CONTEXT,2400,1702,2400,1702,0,0,NO,"-34.500000,3055.870850,0.000000;-10.493067,3071.660400,295.000000"
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,P25_SOLID_DAM_SHELL_GRAVEL_F08,RETAINED_CONTEXT,3375,1628,3375,1628,0,0,NO,"-34.500000,3055.000000,0.000000;44.486401,3079.500000,295.000000"
P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_MAIN_ROCKFILL_F09,RETAINED_CONTEXT,2775,1998,2775,1998,0,0,NO,"-72.341904,3057.776610,0.000000;-36.500000,3071.660400,295.000000"
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,RETAINED_CONTEXT,1575,1036,1575,1036,0,0,NO,"-80.500000,3058.073970,0.000000;-50.627525,3063.389160,295.000000"
P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_MAIN_ROCKFILL_F11,RETAINED_CONTEXT,900,444,900,444,0,0,NO,"-87.500000,3058.702390,0.000000;-66.000000,3067.032470,295.000000"
P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,RETAINED_CONTEXT,2325,1110,2325,1110,0,0,NO,"-90.500000,3059.165040,0.000000;-36.500000,3073.511470,295.000000"
P25_SOLID_CUTOFF_WALL_F13-1,V15_5_REFINED_P25_SOLID_CUTOFF_WALL_F13_1,CUTOFF_WALL,48411,31376,2250,1036,46161,30340,YES,"-36.000000,3021.000000,0.000000;-35.000000,3073.511470,295.000000"
V12_UPSTREAM_GEOMEMBRANE-1,V15_5_REFINED_V12_UPSTREAM_GEOMEMBRANE_1,GEOMEMBRANE,5050,2400,198,80,4852,2320,YES,"-90.500000,150.000000,3055.000000;-35.500000,445.000000,3073.511470"
V15_4_POWERHOUSE_UNIT_01_I,V15_4_POWERHOUSE_UNIT_01,ENGINEERING_MESH,13656,9434,13656,9434,0,0,NO,"-30.000000,-122.000000,3029.700000;26.500000,-95.350000,3081.000000"
V15_4_POWERHOUSE_UNIT_02_I,V15_4_POWERHOUSE_UNIT_02,ENGINEERING_MESH,13656,9434,13656,9434,0,0,NO,"-30.000000,-95.350000,3029.700000;26.500000,-68.700000,3081.000000"
V15_4_POWERHOUSE_UNIT_03_I,V15_4_POWERHOUSE_UNIT_03,ENGINEERING_MESH,13656,9434,13656,9434,0,0,NO,"-30.000000,-68.700000,3029.700000;26.500000,-42.050000,3081.000000"
V15_4_POWERHOUSE_UNIT_04_I,V15_4_POWERHOUSE_UNIT_04,ENGINEERING_MESH,13656,9434,13656,9434,0,0,NO,"-30.000000,-42.050000,3029.700000;26.500000,-15.400000,3081.000000"
