global_y_m,bottom_z_m,top_z_m,depth_m,xmin_m,xmax_m,thickness_x_m
150.000000,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
153.986500,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
157.973000,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
161.959500,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
165.946000,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
169.932400,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
173.918900,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
177.905400,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
181.891900,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
185.878400,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
189.864900,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
193.851300,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
197.837800,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
201.824300,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
205.810800,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
209.797300,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
213.783800,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
217.770300,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
221.756800,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
225.743200,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
229.729700,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
233.716200,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
237.702700,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
241.689200,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
245.675700,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
249.662200,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
253.648700,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
257.635100,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
261.621600,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
265.608100,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
269.594600,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
273.581100,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
277.567600,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
281.554000,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
285.540500,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
289.527000,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
293.513500,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
297.500000,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
301.486500,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
305.473000,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
309.459500,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
313.446000,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
317.432400,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
321.418900,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
325.405400,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
329.391900,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
333.378400,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
337.364900,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
341.351300,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
345.337800,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
