instance,part,active_v12,active_v14,active_v15,nodes,elements,element_type,x_min,x_max,y_min,y_max,z_min,z_max,material,classification
RIGHT_BX01_I,RIGHT_BX01,YES,NO,NO,18,4,C3D8R,120.0,360.0,500.0,610.0,2990.0,3305.0,DEFORMATION_BODY,REUSE_AS_IS
RIGHT_BX02_I,RIGHT_BX02,YES,NO,NO,18,4,C3D8R,-120.0,180.0,610.0,730.0,3005.0,3201.0,DEFORMATION_BODY,REUSE_AS_IS
RIGHT_BX03_I,RIGHT_BX03,YES,NO,NO,18,4,C3D8R,360.0,650.0,730.0,840.0,3040.0,3170.0,DEFORMATION_BODY,REUSE_AS_IS
SPILLWAY_BAY_01_I,SPILLWAY_BAY_01,YES,NO,REBUILT,40,12,C3D8R,-35.0,38.0,20.0,32.3125,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_BAY_02_I,SPILLWAY_BAY_02,YES,NO,REBUILT,40,12,C3D8R,-35.0,38.0,33.8125,46.125,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_BAY_03_I,SPILLWAY_BAY_03,YES,NO,REBUILT,40,12,C3D8R,-35.0,38.0,47.625,59.9375,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_BAY_04_I,SPILLWAY_BAY_04,YES,NO,REBUILT,40,12,C3D8R,-35.0,38.0,61.4375,73.75,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_BAY_05_I,SPILLWAY_BAY_05,YES,NO,REBUILT,40,12,C3D8R,-35.0,38.0,75.25,87.5625,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_BAY_06_I,SPILLWAY_BAY_06,YES,NO,REBUILT,40,12,C3D8R,-35.0,38.0,89.0625,101.375,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_BAY_07_I,SPILLWAY_BAY_07,YES,NO,REBUILT,40,12,C3D8R,-35.0,38.0,102.875,115.1875,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_BAY_08_I,SPILLWAY_BAY_08,YES,NO,REBUILT,40,12,C3D8R,-35.0,38.0,116.6875,129.0,3047.5,3079.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_STILLING_BASIN_I,SPILLWAY_STILLING_BASIN,YES,NO,REBUILT,72,25,C3D8R,38.0,145.0,20.0,129.0,3047.5,3050.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_LEFT_WALL_I,SPILLWAY_LEFT_WALL,YES,NO,REBUILT,30,8,C3D8R,38.0,145.0,16.0,20.0,3047.5,3065.0,CONCRETE,REBUILD_REQUIRED
SPILLWAY_RIGHT_WALL_I,SPILLWAY_RIGHT_WALL,YES,NO,REBUILT,30,8,C3D8R,38.0,145.0,129.0,133.0,3047.5,3065.0,CONCRETE,REBUILD_REQUIRED
ECO_RELEASE_01_I,ECO_RELEASE_01,YES,NO,REBUILT,40,12,C3D8R,-35.0,38.0,-15.0,-1.0,3050.0,3079.0,CONCRETE,REBUILD_REQUIRED
ECO_RELEASE_02_I,ECO_RELEASE_02,YES,NO,REBUILT,40,12,C3D8R,-35.0,38.0,1.0,15.0,3050.0,3079.0,CONCRETE,REBUILD_REQUIRED
POWERHOUSE_UNIT_01_I,POWERHOUSE_UNIT_01,YES,NO,REBUILT,105,48,C3D8R,-30.0,70.0,-122.0,-96.5500031,3029.69995,3081.0,CONCRETE,REBUILD_REQUIRED
POWERHOUSE_UNIT_02_I,POWERHOUSE_UNIT_02,YES,NO,REBUILT,105,48,C3D8R,-30.0,70.0,-95.3499985,-69.9000015,3029.69995,3081.0,CONCRETE,REBUILD_REQUIRED
POWERHOUSE_UNIT_03_I,POWERHOUSE_UNIT_03,YES,NO,REBUILT,105,48,C3D8R,-30.0,70.0,-68.6999969,-43.25,3029.69995,3081.0,CONCRETE,REBUILD_REQUIRED
POWERHOUSE_UNIT_04_I,POWERHOUSE_UNIT_04,YES,NO,REBUILT,105,48,C3D8R,-30.0,70.0,-42.0499992,-16.6000004,3029.69995,3081.0,CONCRETE,REBUILD_REQUIRED
POWERHOUSE_INSTALLATION_BAY_I,POWERHOUSE_INSTALLATION_BAY,YES,NO,REBUILT,45,16,C3D8R,-64.0,-30.0,-122.0,-15.3999996,3062.0,3079.0,CONCRETE,REBUILD_REQUIRED
TAILWATER_CHANNEL_I,TAILWATER_CHANNEL,YES,NO,REBUILT,84,30,C3D8R,70.0,220.0,-126.0,-12.0,3036.8999,3038.19995,CONCRETE,REBUILD_REQUIRED
LEFT_SUBDAM_I,LEFT_SUBDAM,YES,NO,NO,180,96,C3D8R,-55.0,85.0,-340.0,-135.0,3059.0,3079.0,CONCRETE,REUSE_AS_IS
