instance,element_label,x,y,z,mean_pore_pressure,hydraulic_head,gradient_x,gradient_y,gradient_z,gradient_norm,neighbor_count,status
P25_SOLID_CUTOFF_WALL_F13-1,32441,-35.5,455.0000305175781,3021.469970703125,-12.128101348876953,3020.233670871435,,,,,5,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32442,-35.5,455.0000305175781,3023.9249267578125,7.7810211181640625,3024.718099144985,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32443,-35.5,455.0000305175781,3027.8948974609375,4.455589294433594,3028.349085972093,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32444,-35.5,455.0000305175781,3031.8599853515625,0.929931640625,3031.954779606468,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32445,-35.5,455.0000305175781,3035.8250732421875,2.178976058959961,3036.0471910871374,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32446,-35.5,455.0000305175781,3039.7950439453125,0.4486398696899414,3039.8407768576153,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32447,-35.5,455.0000305175781,3043.760009765625,1.6895780563354492,3043.93223994466,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32448,-35.5,455.0000305175781,3047.7249755859375,0.4830045700073242,3047.7742115257956,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32449,-35.5,455.0000305175781,3051.6949462890625,1.018575668334961,3051.79877663242,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32450,-35.5,455.0000305175781,3055.659912109375,0.2873096466064453,3055.6891995351248,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32451,-35.5,455.0000305175781,3059.625,0.686765193939209,3059.6950066456616,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32452,-35.5,455.0000305175781,3063.5950927734375,0.48830318450927734,3063.644868837098,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32453,-35.5,455.0000305175781,3067.56005859375,0.8387577533721924,3067.6455588744197,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
