key_point,instance,element_label,x,y,z,representative_head,element_count,status,group_head_min,group_head_max,group_head_mean
RIGHT_BANK_CURTAIN_START,P25_SOLID_CUTOFF_WALL_F13-1,32413,-35.5,447.0000305175781,3021.469970703125,3015.0540216506197,14,COMPUTED_ELEMENT_CENTROID_POR,3015.0540216506197,3071.5664294489056,3045.166028181061
RIGHT_BANK_CURTAIN_MID,P25_SOLID_CUTOFF_WALL_F13-1,32588,-35.5,495.0000305175781,3047.7249755859375,3047.8720100978344,14,COMPUTED_ELEMENT_CENTROID_POR,3022.440645892564,3071.546063687094,3046.0551077450173
RIGHT_BANK_CURTAIN_END,P25_SOLID_CUTOFF_WALL_F13-1,32749,-35.5,543.0000610351562,3021.469970703125,3021.505388670133,14,COMPUTED_ELEMENT_CENTROID_POR,3021.505388670133,3071.5256055137797,3045.8583318342435
RIGHT_DEEP_CRACK_ZONE_MEAN,V15_7_FOUNDATION_GEOLOGY_I,559578,-37.5,451.875,3027.21240234375,3027.2372957850357,73,COMPUTED_ELEMENT_CENTROID_POR,3021.6194444903754,3073.4966128743904,3046.220692608168
RIGHT_DEEP_CRACK_ZONE_MAX_HEAD,V15_7_FOUNDATION_GEOLOGY_I,551999,-38.33333396911621,493.125,3073.4658203125,3073.4966128743904,73,COMPUTED_ELEMENT_CENTROID_POR,3021.6194444903754,3073.4966128743904,3046.220692608168
RIGHT_BANK_ALL_MEAN,V15_7_FOUNDATION_GEOLOGY_I,565923,-525.0,447.2916717529297,2629.447509765625,2637.054680282795,69478,COMPUTED_ELEMENT_CENTROID_POR,2593.116896385325,3412.0875624334894,3036.374092828809
