step,nset,node_z_m,old_p_kPa,new_p_kPa,target_downstream_head_m,basis
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00006,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00007,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00008,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00009,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00010,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00011,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00012,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00013,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00014,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00015,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00016,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00017,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00018,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00019,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00020,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00021,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00022,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00023,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00024,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00025,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
