instance,instance_bbox_xyz,candidate_rank,support_instance,support_bbox_xyz,bbox_gap_m,axis_gap_xyz_m,nearest_node_distance_m,instance_node,support_node,bbox_overlap
LEFT_SUBDAM_I,-55:85;-340:-135;3059:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,11.34351,1,468,YES
LEFT_SUBDAM_I,-55:85;-340:-135;3059:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,17.03052,1,468,YES
POWERHOUSE_INSTALLATION_BAY_I,-64:-30;-122:-15.4;3062:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,2.61597,1,908,YES
POWERHOUSE_INSTALLATION_BAY_I,-64:-30;-122:-15.4;3062:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,14.29175,1,551,YES
POWERHOUSE_INSTALLATION_BAY_I,-64:-30;-122:-15.4;3062:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,19.97974,1,551,YES
POWERHOUSE_UNIT_01_I,-30:70;-122:-96.55;3029.7:3081,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,0.13696,35,202,YES
POWERHOUSE_UNIT_01_I,-30:70;-122:-96.55;3029.7:3081,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,0.13696,35,559,YES
POWERHOUSE_UNIT_01_I,-30:70;-122:-96.55;3029.7:3081,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,1.80396,20,202,YES
POWERHOUSE_UNIT_02_I,-30:70;-95.35:-69.9;3029.7:3081,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,19.9004728,45,223,YES
POWERHOUSE_UNIT_02_I,-30:70;-95.35:-69.9;3029.7:3081,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,19.9004728,45,580,YES
POWERHOUSE_UNIT_02_I,-30:70;-95.35:-69.9;3029.7:3081,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,19.9815998,30,223,YES
POWERHOUSE_UNIT_03_I,-30:70;-68.7:-43.25;3029.7:3081,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,5.976568,40,223,YES
POWERHOUSE_UNIT_03_I,-30:70;-68.7:-43.25;3029.7:3081,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,5.976568,40,580,YES
POWERHOUSE_UNIT_03_I,-30:70;-68.7:-43.25;3029.7:3081,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,6.24138436,25,223,YES
POWERHOUSE_UNIT_04_I,-30:70;-42.05:-16.6;3029.7:3081,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,1.60585159,45,244,YES
POWERHOUSE_UNIT_04_I,-30:70;-42.05:-16.6;3029.7:3081,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,1.60585159,45,601,YES
POWERHOUSE_UNIT_04_I,-30:70;-42.05:-16.6;3029.7:3081,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,2.41128036,30,244,YES
RIGHT_BX01_I,120:360;500:610;2990:3305,1,RIGHT_FRESH_GRANITE_I,-600:900;445:850;2600:3201.4,0,0;0;0,15.0002938,1,876,YES
RIGHT_BX01_I,120:360;500:610;2990:3305,2,RIGHT_Q4_COLLUVIAL_I,-600:900;445:850;3074.9:3426.4,0,0;0;0,21.6332783,7,57,YES
RIGHT_BX01_I,120:360;500:610;2990:3305,3,RIGHT_R04_Q3AL_V_I,-600:900;445:850;3059.4:3423.4,0,0;0;0,15.8149436,7,225,YES
RIGHT_BX02_I,-120:180;610:730;3005:3201,1,RIGHT_FRESH_GRANITE_I,-600:900;445:850;2600:3201.4,0,0;0;0,8.12533132,5,935,YES
RIGHT_BX02_I,-120:180;610:730;3005:3201,2,RIGHT_Q4_COLLUVIAL_I,-600:900;445:850;3074.9:3426.4,0,0;0;0,124.370288,17,95,YES
RIGHT_BX02_I,-120:180;610:730;3005:3201,3,RIGHT_R04_Q3AL_V_I,-600:900;445:850;3059.4:3423.4,0,0;0;0,95.7938236,17,95,YES
RIGHT_BX03_I,360:650;730:840;3040:3170,1,RIGHT_FRESH_GRANITE_I,-600:900;445:850;2600:3201.4,0,0;0;0,55.4080363,3,797,YES
RIGHT_BX03_I,360:650;730:840;3040:3170,2,RIGHT_Q4_COLLUVIAL_I,-600:900;445:850;3074.9:3426.4,0,0;0;0,205.275105,18,125,YES
RIGHT_BX03_I,360:650;730:840;3040:3170,3,RIGHT_R04_Q3AL_V_I,-600:900;445:850;3059.4:3423.4,0,0;0;0,173.183415,18,146,YES
RIGHT_CURTAIN_GROUTING_ZONE_I,-9:-6;445:650;2980:3075,1,P25_SOLID_DAM_SHELL_GRAVEL_F02-1,-28.5:29.9373;150:445;3057.78:3077.65,0,0;0;0,0.939679695,72,7,YES
RIGHT_CURTAIN_GROUTING_ZONE_I,-9:-6;445:650;2980:3075,2,P25_SOLID_DAM_SHELL_GRAVEL_F08-1,-34.5:44.4864;150:445;3055:3079.5,0,0;0;0,1.69961925,71,27,YES
RIGHT_CURTAIN_GROUTING_ZONE_I,-9:-6;445:650;2980:3075,3,P25_SOLID_DRAINAGE_BODY_F03-1,-19.8172:27.2358;150:445;3055.93:3075.8,0,0;0;0,0.459941377,58,9,YES
SPILLWAY_BAY_01_I,-35:38;20:32.3125;3047.5:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,0.04126,1,280,YES
SPILLWAY_BAY_01_I,-35:38;20:32.3125;3047.5:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,0.04126,1,637,YES
SPILLWAY_BAY_01_I,-35:38;20:32.3125;3047.5:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,5.64331,1,637,YES
SPILLWAY_BAY_02_I,-35:38;33.8125:46.125;3047.5:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,3.87521966,5,301,YES
SPILLWAY_BAY_02_I,-35:38;33.8125:46.125;3047.5:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,3.87521966,5,658,YES
SPILLWAY_BAY_02_I,-35:38;33.8125:46.125;3047.5:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,6.84562435,5,658,YES
SPILLWAY_BAY_03_I,-35:38;47.625:59.9375;3047.5:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,2.37535837,1,301,YES
SPILLWAY_BAY_03_I,-35:38;47.625:59.9375;3047.5:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,2.37535837,1,658,YES
SPILLWAY_BAY_03_I,-35:38;47.625:59.9375;3047.5:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,6.12270959,1,658,YES
SPILLWAY_BAY_04_I,-35:38;61.4375:73.75;3047.5:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,11.4375744,1,301,YES
SPILLWAY_BAY_04_I,-35:38;61.4375:73.75;3047.5:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,11.4375744,1,658,YES
SPILLWAY_BAY_04_I,-35:38;61.4375:73.75;3047.5:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,12.7539544,1,658,YES
SPILLWAY_BAY_05_I,-35:38;75.25:87.5625;3047.5:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,25.2500337,1,301,YES
SPILLWAY_BAY_05_I,-35:38;75.25:87.5625;3047.5:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,25.2500337,1,658,YES
SPILLWAY_BAY_05_I,-35:38;75.25:87.5625;3047.5:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,25.8729482,1,658,YES
SPILLWAY_BAY_06_I,-35:38;89.0625:101.375;3047.5:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,27.6250308,5,322,YES
SPILLWAY_BAY_06_I,-35:38;89.0625:101.375;3047.5:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,27.6250308,5,679,YES
SPILLWAY_BAY_06_I,-35:38;89.0625:101.375;3047.5:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,28.195524,5,679,YES
SPILLWAY_BAY_07_I,-35:38;102.875:115.188;3047.5:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,13.8125616,5,322,YES
SPILLWAY_BAY_07_I,-35:38;102.875:115.188;3047.5:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,13.8125616,5,679,YES
SPILLWAY_BAY_07_I,-35:38;102.875:115.188;3047.5:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,14.9208614,5,679,YES
SPILLWAY_BAY_08_I,-35:38;116.688:129;3047.5:3079,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,0.04126,5,322,YES
SPILLWAY_BAY_08_I,-35:38;116.688:129;3047.5:3079,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,0.04126,5,679,YES
SPILLWAY_BAY_08_I,-35:38;116.688:129;3047.5:3079,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,5.64331,5,679,YES
SPILLWAY_LEFT_WALL_I,38:145;16:20;3047.5:3065,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,0.37891,6,284,YES
SPILLWAY_LEFT_WALL_I,38:145;16:20;3047.5:3065,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,0.37891,6,641,YES
SPILLWAY_LEFT_WALL_I,38:145;16:20;3047.5:3065,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,6.05469,6,641,YES
SPILLWAY_RIGHT_WALL_I,38:145;129:133;3047.5:3065,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,0.37891,1,326,YES
SPILLWAY_RIGHT_WALL_I,38:145;129:133;3047.5:3065,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,0.37891,1,683,YES
SPILLWAY_RIGHT_WALL_I,38:145;129:133;3047.5:3065,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,6.05469,1,683,YES
SPILLWAY_STILLING_BASIN_I,38:145;20:129;3047.5:3050,1,LEFT_L01_Q4DEL_I,-600:900;-700:150;3042.16:3113.6,0,0;0;0,0.37891,1,284,YES
SPILLWAY_STILLING_BASIN_I,38:145;20:129;3047.5:3050,2,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,0.37891,1,641,YES
SPILLWAY_STILLING_BASIN_I,38:145;20:129;3047.5:3050,3,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,6.05469,1,641,YES
TAILWATER_CHANNEL_I,70:220;-126:-12;3036.9:3038.2,1,LEFT_L03_Q4AL_SGR1_I,-600:900;-700:150;3036.59:3091.48,0,0;0;0,3.73176787,84,249,YES
TAILWATER_CHANNEL_I,70:220;-126:-12;3036.9:3038.2,2,LEFT_L05_Q3AL_IV2_I,-600:900;-700:150;3031.85:3080.7,0,0;0;0,3.03413726,36,244,YES
TAILWATER_CHANNEL_I,70:220;-126:-12;3036.9:3038.2,3,LEFT_L06_Q3AL_IV1_I,-600:900;-700:150;3019.95:3071.54,0,0;0;0,3.03413726,36,958,YES
