set_scope,set_name,source_provenance,material,section,element_count,notes
PART_LEAF,GEO_RIGHT_HIGH_TERRACE_COVER,RIGHT_HIGH_TERRACE_COVER_I,Q3AL_V,SEC_GEO_RIGHT_HIGH_TERRACE_COVER,392,mutually exclusive geology leaf
PART_LEAF,GEO_RIGHT_ROCK_STRONG_UNLOADED,RIGHT_ROCK_STRONG_UNLOADED_I,ROCK_STRONG_UNLOADED,SEC_GEO_RIGHT_ROCK_STRONG_UNLOADED,7392,mutually exclusive geology leaf
PART_LEAF,GEO_RIGHT_ROCK_WEAK_UNLOADED,RIGHT_ROCK_WEAK_UNLOADED_I,ROCK_WEAK_UNLOADED,SEC_GEO_RIGHT_ROCK_WEAK_UNLOADED,3816,mutually exclusive geology leaf
PART_LEAF,GEO_RIGHT_ROCK_DEEP_UNLOADED,RIGHT_ROCK_DEEP_UNLOADED_I,ROCK_DEEP_UNLOADED,SEC_GEO_RIGHT_ROCK_DEEP_UNLOADED,26112,mutually exclusive geology leaf
PART_LEAF,GEO_RIGHT_FRESH_GRANITE,RIGHT_FRESH_GRANITE_I,FRESH_GRANITE,SEC_GEO_RIGHT_FRESH_GRANITE,25872,mutually exclusive geology leaf
PART_COMPOSITE,GEO_LEFT_ALL,GEO_LEFT_P2_QUARTZ_SANDSTONE;GEO_LEFT_FOUNDATION_GRANITE;GEO_LEFT_L01_Q4DEL;GEO_LEFT_L03_Q4AL_SGR1;GEO_LEFT_L05_Q3AL_IV2;GEO_LEFT_L06_Q3AL_IV1;GEO_LEFT_L07_Q3AL_III;GEO_LEFT_L08_Q3AL_II;GEO_LEFT_L09_Q3AL_I;GEO_LEFT_L10_Q2FGL_V;GEO_LEFT_L11_Q2FGL_IV;GEO_LEFT_L12_Q2FGL_III;GEO_LEFT_L13_Q2FGL_II;GEO_LEFT_L14_Q2FGL_I,MULTI_MATERIAL,N/A,387699,visualization convenience set; overlap allowed
PART_COMPOSITE,GEO_RIVER_ALL,GEO_RIVER_R02_Q4AL_SGR2;GEO_RIVER_R05_Q3AL_IV2;GEO_RIVER_R06_Q3AL_IV1;GEO_RIVER_R07_Q3AL_III;GEO_RIVER_R08_Q3AL_II;GEO_RIVER_R09_Q3AL_I;GEO_RIVER_R10_Q2FGL_V;GEO_RIVER_R11_Q2FGL_IV;GEO_RIVER_R12_Q2FGL_III;GEO_RIVER_R13_Q2FGL_II;GEO_RIVER_R14_Q2FGL_I;GEO_RIVER_ROCK_STRONG_UNLOADED;GEO_RIVER_ROCK_WEAK_UNLOADED;GEO_RIVER_ROCK_DEEP_UNLOADED;GEO_RIVER_FRESH_GRANITE,MULTI_MATERIAL,N/A,134967,visualization convenience set; overlap allowed
PART_COMPOSITE,GEO_RIGHT_ALL,GEO_RIGHT_Q4_COLLUVIAL;GEO_RIGHT_R04_Q3AL_V;GEO_RIGHT_HIGH_TERRACE_COVER;GEO_RIGHT_ROCK_STRONG_UNLOADED;GEO_RIGHT_ROCK_WEAK_UNLOADED;GEO_RIGHT_ROCK_DEEP_UNLOADED;GEO_RIGHT_FRESH_GRANITE,MULTI_MATERIAL,N/A,69128,visualization convenience set; overlap allowed
PART_COMPOSITE,GEO_COVER_ALL,GEO_LEFT_L01_Q4DEL;GEO_LEFT_L03_Q4AL_SGR1;GEO_RIVER_R02_Q4AL_SGR2;GEO_RIGHT_R04_Q3AL_V;GEO_RIGHT_HIGH_TERRACE_COVER,MULTI_MATERIAL,N/A,61627,visualization convenience set; overlap allowed
PART_COMPOSITE,GEO_WEATHERED_ROCK_ALL,GEO_LEFT_L03_Q4AL_SGR1;GEO_LEFT_L05_Q3AL_IV2;GEO_LEFT_L06_Q3AL_IV1;GEO_LEFT_L07_Q3AL_III;GEO_LEFT_L08_Q3AL_II;GEO_LEFT_L09_Q3AL_I;GEO_LEFT_L10_Q2FGL_V;GEO_LEFT_L11_Q2FGL_IV;GEO_LEFT_L12_Q2FGL_III;GEO_LEFT_L13_Q2FGL_II;GEO_LEFT_L14_Q2FGL_I;GEO_RIVER_R02_Q4AL_SGR2;GEO_RIVER_R05_Q3AL_IV2;GEO_RIVER_R06_Q3AL_IV1;GEO_RIVER_R07_Q3AL_III;GEO_RIVER_R08_Q3AL_II;GEO_RIVER_R09_Q3AL_I;GEO_RIVER_R10_Q2FGL_V;GEO_RIVER_R11_Q2FGL_IV;GEO_RIVER_R12_Q2FGL_III;GEO_RIVER_R13_Q2FGL_II;GEO_RIVER_R14_Q2FGL_I;GEO_RIGHT_R04_Q3AL_V,MULTI_MATERIAL,N/A,358132,visualization convenience set; overlap allowed
PART_COMPOSITE,GEO_FRESH_ROCK_ALL,GEO_LEFT_P2_QUARTZ_SANDSTONE;GEO_RIVER_ROCK_STRONG_UNLOADED;GEO_RIVER_ROCK_WEAK_UNLOADED;GEO_RIVER_ROCK_DEEP_UNLOADED;GEO_RIVER_FRESH_GRANITE;GEO_RIGHT_ROCK_STRONG_UNLOADED;GEO_RIGHT_ROCK_WEAK_UNLOADED;GEO_RIGHT_ROCK_DEEP_UNLOADED;GEO_RIGHT_FRESH_GRANITE,MULTI_MATERIAL,N/A,130202,visualization convenience set; overlap allowed
PART_COMPOSITE,GEO_FOUNDATION_ALL,GEO_LEFT_P2_QUARTZ_SANDSTONE;GEO_LEFT_FOUNDATION_GRANITE;GEO_LEFT_L01_Q4DEL;GEO_LEFT_L03_Q4AL_SGR1;GEO_LEFT_L05_Q3AL_IV2;GEO_LEFT_L06_Q3AL_IV1;GEO_LEFT_L07_Q3AL_III;GEO_LEFT_L08_Q3AL_II;GEO_LEFT_L09_Q3AL_I;GEO_LEFT_L10_Q2FGL_V;GEO_LEFT_L11_Q2FGL_IV;GEO_LEFT_L12_Q2FGL_III;GEO_LEFT_L13_Q2FGL_II;GEO_LEFT_L14_Q2FGL_I;GEO_RIVER_R02_Q4AL_SGR2;GEO_RIVER_R05_Q3AL_IV2;GEO_RIVER_R06_Q3AL_IV1;GEO_RIVER_R07_Q3AL_III;GEO_RIVER_R08_Q3AL_II;GEO_RIVER_R09_Q3AL_I;GEO_RIVER_R10_Q2FGL_V;GEO_RIVER_R11_Q2FGL_IV;GEO_RIVER_R12_Q2FGL_III;GEO_RIVER_R13_Q2FGL_II;GEO_RIVER_R14_Q2FGL_I;GEO_RIVER_ROCK_STRONG_UNLOADED;GEO_RIVER_ROCK_WEAK_UNLOADED;GEO_RIVER_ROCK_DEEP_UNLOADED;GEO_RIVER_FRESH_GRANITE;GEO_RIGHT_Q4_COLLUVIAL;GEO_RIGHT_R04_Q3AL_V;GEO_RIGHT_HIGH_TERRACE_COVER;GEO_RIGHT_ROCK_STRONG_UNLOADED;GEO_RIGHT_ROCK_WEAK_UNLOADED;GEO_RIGHT_ROCK_DEEP_UNLOADED;GEO_RIGHT_FRESH_GRANITE,MULTI_MATERIAL,N/A,591794,visualization convenience set; overlap allowed
