region,element_type,min_edge,median_edge,p90_edge,p95_edge,max_edge,element_count,node_count,refinement_class,target,status
M3_FOUNDATION_GEOLOGY,C3D8P;C3D8R,0.17,6.6667675,9.50012508,10,13.6366091,173050,202157,M3,median<=6;P95<=10;max<=15;aspect<=8,UNRESOLVED
M3-A_0-8m,C3D8P;C3D8R,0.17,4.552,9,9.50018321,10.2859296,38003,49382,M3,band target: A 1.5-3; B 3-4.5; C 4.5-6.5; D 6-9 m,PASS
M3-B_8-20m,C3D8P;C3D8R,0.18,5.0000625,9.37514352,9.875,13.6366091,41724,57941,M3,band target: A 1.5-3; B 3-4.5; C 4.5-6.5; D 6-9 m,PASS
M3-C_20-40m,C3D8P;C3D8R,0.17,6.66673417,9.50013158,10,13.6366091,57307,82047,M3,band target: A 1.5-3; B 3-4.5; C 4.5-6.5; D 6-9 m,PASS
M3-D_40-60m,C3D8P;C3D8R,0.18,8.00013225,9.87772466,10,13.6366091,36016,54595,M3,band target: A 1.5-3; B 3-4.5; C 4.5-6.5; D 6-9 m,PASS
M4_TRANSITION_GEOLOGY,C3D8P;C3D8R,0.36,8.7500558,11.2993548,13.6365341,27.2731249,99192,122060,M4_TRANSITION,approximately 8-15 m,PASS
M4_FAR_FIELD_GEOLOGY,C3D8P;C3D8R,0.36,9.59899275,22.9518,27.2729455,150.0027,221196,254260,M4_FAR_FIELD,approximately 10-20 m; remote exceptions excluded,PASS
M4_REMOTE_BOUNDARY,C3D8P;C3D8R,0.36,11.598321,89.2733333,150.000694,150.48,98356,130886,M4_REMOTE_BOUNDARY,remote boundary may exceed 20 m,PASS
