instance,mesh_class,nodes,elements,v15_6_nodes,v15_6_elements,delta_nodes,delta_elements,remeshed,bbox
P25_SOLID_DRAINAGE_BODY_F00-1,FROZEN_ENGINEERING_OR_CONTEXT,975,518,975,518,0,0,NO,"25.475100,3055.000000,0.000000;42.000000,3062.040000,295.000000"
P25_SOLID_FILTER_LAYER_F01-1,FROZEN_ENGINEERING_OR_CONTEXT,2625,1480,2625,1480,0,0,NO,"-20.815100,3055.000000,0.000000;26.061800,3075.800000,295.000000"
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,FROZEN_ENGINEERING_OR_CONTEXT,5850,4292,5850,4292,0,0,NO,"-28.500000,3057.780000,0.000000;29.937300,3077.650000,295.000000"
P25_SOLID_DRAINAGE_BODY_F03-1,FROZEN_ENGINEERING_OR_CONTEXT,2550,1184,2550,1184,0,0,NO,"-19.817200,3055.930000,0.000000;27.235800,3075.800000,295.000000"
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,FROZEN_ENGINEERING_OR_CONTEXT,2400,1702,2400,1702,0,0,NO,"-34.500000,3055.870000,0.000000;-10.493100,3071.660000,295.000000"
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,FROZEN_ENGINEERING_OR_CONTEXT,3375,1628,3375,1628,0,0,NO,"-34.500000,3055.000000,0.000000;44.486400,3079.500000,295.000000"
P25_SOLID_MAIN_ROCKFILL_F09-1,FROZEN_ENGINEERING_OR_CONTEXT,2775,1998,2775,1998,0,0,NO,"-72.341900,3057.780000,0.000000;-36.500000,3071.660000,295.000000"
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,FROZEN_ENGINEERING_OR_CONTEXT,1575,1036,1575,1036,0,0,NO,"-80.500000,3058.070000,0.000000;-50.627500,3063.390000,295.000000"
P25_SOLID_MAIN_ROCKFILL_F11-1,FROZEN_ENGINEERING_OR_CONTEXT,900,444,900,444,0,0,NO,"-87.500000,3058.700000,0.000000;-66.000000,3067.030000,295.000000"
P25_SOLID_IMPERMEABLE_FILL_F12-1,FROZEN_ENGINEERING_OR_CONTEXT,2325,1110,2325,1110,0,0,NO,"-90.500000,3059.170000,0.000000;-36.500000,3073.510000,295.000000"
P25_SOLID_CUTOFF_WALL_F13-1,FROZEN_ENGINEERING_OR_CONTEXT,48411,31376,48411,31376,0,0,NO,"-36.000000,3021.000000,0.000000;-35.000000,3073.510000,295.000000"
V12_UPSTREAM_GEOMEMBRANE-1,FROZEN_ENGINEERING_OR_CONTEXT,5050,2400,5050,2400,0,0,NO,"-90.500000,150.000000,3055.000000;-35.500000,445.000000,3073.510000"
V15_4_POWERHOUSE_UNIT_01_I,FROZEN_ENGINEERING_OR_CONTEXT,13656,9434,13656,9434,0,0,NO,"-30.000000,-122.000000,3029.700000;26.500000,-95.350000,3081.000000"
V15_4_POWERHOUSE_UNIT_02_I,FROZEN_ENGINEERING_OR_CONTEXT,13656,9434,13656,9434,0,0,NO,"-30.000000,-95.350000,3029.700000;26.500000,-68.700000,3081.000000"
V15_4_POWERHOUSE_UNIT_03_I,FROZEN_ENGINEERING_OR_CONTEXT,13656,9434,13656,9434,0,0,NO,"-30.000000,-68.700000,3029.700000;26.500000,-42.050000,3081.000000"
V15_4_POWERHOUSE_UNIT_04_I,FROZEN_ENGINEERING_OR_CONTEXT,13656,9434,13656,9434,0,0,NO,"-30.000000,-42.050000,3029.700000;26.500000,-15.400000,3081.000000"
V15_4_POWERHOUSE_INSTALLATION_BAY_I,FROZEN_ENGINEERING_OR_CONTEXT,20652,14094,20652,14094,0,0,NO,"-64.000000,-122.000000,3056.470000;-30.000000,-15.400000,3079.000000"
V15_4_TAILWATER_CHANNEL_I,FROZEN_ENGINEERING_OR_CONTEXT,3780,1798,3780,1798,0,0,NO,"26.500000,-87.000000,3036.100000;180.500000,-15.400000,3053.000000"
V15_4_TAILWATER_RIVERBED_I,FROZEN_ENGINEERING_OR_CONTEXT,1520,702,1520,702,0,0,NO,"26.500000,-87.000000,3032.100000;180.500000,-15.400000,3052.200000"
V15_4_TAILWATER_LEFT_RETAINING_WALL_I,FROZEN_ENGINEERING_OR_CONTEXT,2808,1694,2808,1694,0,0,NO,"26.500000,-92.500000,3036.100000;180.500000,-88.500000,3058.000000"
V15_4_TAILWATER_DOWNSTREAM_RIVERBED_I,FROZEN_ENGINEERING_OR_CONTEXT,800,360,800,360,0,0,NO,"180.500000,-87.000000,3045.000000;300.500000,-15.400000,3056.200000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I,FROZEN_ENGINEERING_OR_CONTEXT,1386,840,1386,840,0,0,NO,"-20.000000,27.000000,3047.500000;10.000000,30.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I,FROZEN_ENGINEERING_OR_CONTEXT,1386,840,1386,840,0,0,NO,"-20.000000,37.000000,3047.500000;10.000000,40.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I,FROZEN_ENGINEERING_OR_CONTEXT,1386,840,1386,840,0,0,NO,"-20.000000,47.000000,3047.500000;10.000000,50.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I,FROZEN_ENGINEERING_OR_CONTEXT,1386,840,1386,840,0,0,NO,"-20.000000,57.000000,3047.500000;10.000000,60.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I,FROZEN_ENGINEERING_OR_CONTEXT,1386,840,1386,840,0,0,NO,"-20.000000,67.000000,3047.500000;10.000000,70.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I,FROZEN_ENGINEERING_OR_CONTEXT,1386,840,1386,840,0,0,NO,"-20.000000,77.000000,3047.500000;10.000000,80.000000,3079.000000"
V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I,FROZEN_ENGINEERING_OR_CONTEXT,1386,840,1386,840,0,0,NO,"-20.000000,87.000000,3047.500000;10.000000,90.000000,3079.000000"
V15_4_SPILLWAY_LEFT_ABUTMENT_I,FROZEN_ENGINEERING_OR_CONTEXT,9180,7552,9180,7552,0,0,NO,"-35.000000,16.000000,3047.500000;-20.000000,133.000000,3079.000000"
V15_4_SPILLWAY_RIGHT_ABUTMENT_I,FROZEN_ENGINEERING_OR_CONTEXT,4845,4032,4845,4032,0,0,NO,"10.000000,97.000000,3047.500000;38.000000,133.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_01_I,FROZEN_ENGINEERING_OR_CONTEXT,6200,5040,6200,5040,0,0,NO,"-20.000000,20.000000,3055.230000;10.000000,27.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_02_I,FROZEN_ENGINEERING_OR_CONTEXT,6200,5040,6200,5040,0,0,NO,"-20.000000,30.000000,3055.230000;10.000000,37.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_03_I,FROZEN_ENGINEERING_OR_CONTEXT,6200,5040,6200,5040,0,0,NO,"-20.000000,40.000000,3055.230000;10.000000,47.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_04_I,FROZEN_ENGINEERING_OR_CONTEXT,6200,5040,6200,5040,0,0,NO,"-20.000000,50.000000,3055.230000;10.000000,57.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_05_I,FROZEN_ENGINEERING_OR_CONTEXT,6200,5040,6200,5040,0,0,NO,"-20.000000,60.000000,3055.230000;10.000000,67.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_06_I,FROZEN_ENGINEERING_OR_CONTEXT,6200,5040,6200,5040,0,0,NO,"-20.000000,70.000000,3055.230000;10.000000,77.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_07_I,FROZEN_ENGINEERING_OR_CONTEXT,6200,5040,6200,5040,0,0,NO,"-20.000000,80.000000,3055.230000;10.000000,87.000000,3079.000000"
V15_4_SPILLWAY_LINTEL_08_I,FROZEN_ENGINEERING_OR_CONTEXT,6200,5040,6200,5040,0,0,NO,"-20.000000,90.000000,3055.230000;10.000000,97.000000,3079.000000"
V15_4_SPILLWAY_CHUTE_SLAB_I,FROZEN_ENGINEERING_OR_CONTEXT,1872,1128,1872,1128,0,0,NO,"10.000000,16.000000,3045.000000;38.000000,133.000000,3047.500000"
V15_4_SPILLWAY_STILLING_BASIN_I,FROZEN_ENGINEERING_OR_CONTEXT,6336,4042,6336,4042,0,0,NO,"38.000000,16.000000,3045.000000;145.000000,133.000000,3047.500000"
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION_I,FROZEN_ENGINEERING_OR_CONTEXT,1050,480,1050,480,0,0,NO,"145.000000,16.000000,3037.000000;245.000000,133.000000,3043.000000"
V15_4_ECO_RELEASE_BASE_I,FROZEN_ENGINEERING_OR_CONTEXT,640,420,640,420,0,0,NO,"-35.000000,-15.000000,3051.500000;-5.000000,-2.500000,3058.000000"
V15_4_ECO_RELEASE_LEFT_I,FROZEN_ENGINEERING_OR_CONTEXT,2728,1890,2728,1890,0,0,NO,"-35.000000,-15.000000,3058.000000;-5.000000,-12.000000,3079.000000"
V15_4_ECO_RELEASE_CENTRAL_I,FROZEN_ENGINEERING_OR_CONTEXT,2728,1890,2728,1890,0,0,NO,"-35.000000,-9.500000,3058.000000;-5.000000,-7.000000,3079.000000"
V15_4_ECO_RELEASE_RIGHT_I,FROZEN_ENGINEERING_OR_CONTEXT,2046,1260,2046,1260,0,0,NO,"-35.000000,-4.500000,3058.000000;-5.000000,-2.500000,3079.000000"
V15_4_ECO_RELEASE_LINTEL_01_I,FROZEN_ENGINEERING_OR_CONTEXT,2108,1440,2108,1440,0,0,NO,"-35.000000,-12.000000,3063.000000;-5.000000,-9.500000,3079.000000"
V15_4_ECO_RELEASE_LINTEL_02_I,FROZEN_ENGINEERING_OR_CONTEXT,2108,1440,2108,1440,0,0,NO,"-35.000000,-7.000000,3063.000000;-5.000000,-4.500000,3079.000000"
V15_4_ECO_RELEASE_TOP_CAP_I,FROZEN_ENGINEERING_OR_CONTEXT,714,416,714,416,0,0,NO,"-35.000000,-15.000000,3077.000000;-19.000000,-2.500000,3079.000000"
V15_4_ECO_RELEASE_APPROACH_SLAB_I,FROZEN_ENGINEERING_OR_CONTEXT,640,420,640,420,0,0,NO,"-5.000000,-15.000000,3050.000000;25.000000,-2.500000,3058.000000"
V15_4_ECO_RELEASE_OUTLET_SLAB_I,FROZEN_ENGINEERING_OR_CONTEXT,588,338,588,338,0,0,NO,"25.000000,-15.000000,3050.000000;38.000000,-2.500000,3051.000000"
V15_4_ECO_RELEASE_LINK_TO_BASIN_I,FROZEN_ENGINEERING_OR_CONTEXT,840,494,840,494,0,0,NO,"25.000000,-2.500000,3049.000000;38.000000,16.000000,3050.000000"
V15_4_LEFT_BANK_SUBDAM_I,FROZEN_ENGINEERING_OR_CONTEXT,36573,29238,36573,29238,0,0,NO,"-112.000000,-122.000000,3030.000000;-64.000000,-15.000000,3079.000000"
V15_4_FISHWAY_I,FROZEN_ENGINEERING_OR_CONTEXT,11438,3327,11438,3327,0,0,NO,"-101.000000,-512.690000,3053.000000;442.000000,-58.120000,3076.000000"
