instance,part,group,x_min,x_max,y_min,y_max,z_min,z_max,length_x,length_y,height_z,status
V15_2_POWERHOUSE_UNIT_01_I,V15_2_POWERHOUSE_UNIT_01,POWERHOUSE,-30.000,26.500,-122.000,-95.350,3029.700,3081.000,56.500,26.650,51.300,NEW_V15_2_GEOMETRY
V15_2_POWERHOUSE_UNIT_02_I,V15_2_POWERHOUSE_UNIT_02,POWERHOUSE,-30.000,26.500,-95.350,-68.700,3029.700,3081.000,56.500,26.650,51.300,NEW_V15_2_GEOMETRY
V15_2_POWERHOUSE_UNIT_03_I,V15_2_POWERHOUSE_UNIT_03,POWERHOUSE,-30.000,26.500,-68.700,-42.050,3029.700,3081.000,56.500,26.650,51.300,NEW_V15_2_GEOMETRY
V15_2_POWERHOUSE_UNIT_04_I,V15_2_POWERHOUSE_UNIT_04,POWERHOUSE,-30.000,26.500,-42.050,-15.400,3029.700,3081.000,56.500,26.650,51.300,NEW_V15_2_GEOMETRY
V15_2_POWERHOUSE_INSTALLATION_BAY_I,V15_2_POWERHOUSE_INSTALLATION_BAY,INSTALLATION_BAY,-64.000,-30.000,-122.000,-15.400,3056.465,3079.000,34.000,106.600,22.535,NEW_V15_2_GEOMETRY
V15_2_TAILWATER_CHANNEL_I,V15_2_TAILWATER_CHANNEL,TAILWATER,26.500,180.500,-87.000,-15.400,3036.100,3053.000,154.000,71.600,16.900,NEW_V15_2_GEOMETRY
V15_2_TAILWATER_RIVERBED_I,V15_2_TAILWATER_RIVERBED,TAILWATER,26.500,180.500,-87.000,-15.400,3032.100,3052.200,154.000,71.600,20.100,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_PIER_00_I,V15_2_SPILLWAY_PIER_00,SPILLWAY,-20.000,10.000,16.000,20.000,3047.500,3079.000,30.000,4.000,31.500,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_PIER_01_I,V15_2_SPILLWAY_PIER_01,SPILLWAY,-20.000,10.000,30.000,33.625,3047.500,3079.000,30.000,3.625,31.500,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_PIER_02_I,V15_2_SPILLWAY_PIER_02,SPILLWAY,-20.000,10.000,43.625,47.250,3047.500,3079.000,30.000,3.625,31.500,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_PIER_03_I,V15_2_SPILLWAY_PIER_03,SPILLWAY,-20.000,10.000,57.250,60.875,3047.500,3079.000,30.000,3.625,31.500,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_PIER_04_I,V15_2_SPILLWAY_PIER_04,SPILLWAY,-20.000,10.000,70.875,74.500,3047.500,3079.000,30.000,3.625,31.500,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_PIER_05_I,V15_2_SPILLWAY_PIER_05,SPILLWAY,-20.000,10.000,84.500,88.125,3047.500,3079.000,30.000,3.625,31.500,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_PIER_06_I,V15_2_SPILLWAY_PIER_06,SPILLWAY,-20.000,10.000,98.125,101.750,3047.500,3079.000,30.000,3.625,31.500,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_PIER_07_I,V15_2_SPILLWAY_PIER_07,SPILLWAY,-20.000,10.000,111.750,115.375,3047.500,3079.000,30.000,3.625,31.500,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_PIER_08_I,V15_2_SPILLWAY_PIER_08,SPILLWAY,-20.000,10.000,125.375,133.000,3047.500,3079.000,30.000,7.625,31.500,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_LEFT_ABUTMENT_I,V15_2_SPILLWAY_LEFT_ABUTMENT,SPILLWAY,-35.000,-20.000,16.000,133.000,3047.500,3079.000,15.000,117.000,31.500,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_RIGHT_ABUTMENT_I,V15_2_SPILLWAY_RIGHT_ABUTMENT,SPILLWAY,10.000,38.000,16.000,133.000,3047.500,3079.000,28.000,117.000,31.500,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_CHUTE_SLAB_I,V15_2_SPILLWAY_CHUTE_SLAB,SPILLWAY,10.000,38.000,16.000,133.000,3047.500,3048.300,28.000,117.000,0.800,NEW_V15_2_GEOMETRY
V15_2_SPILLWAY_STILLING_BASIN_I,V15_2_SPILLWAY_STILLING_BASIN,SPILLWAY,38.000,145.000,16.000,133.000,3047.500,3048.300,107.000,117.000,0.800,NEW_V15_2_GEOMETRY
V15_2_ECO_RELEASE_LEFT_WALL_I,V15_2_ECO_RELEASE_LEFT_WALL,ECO_RELEASE,-35.000,-31.000,-15.000,15.000,3058.000,3077.500,4.000,30.000,19.500,NEW_V15_2_GEOMETRY
V15_2_ECO_RELEASE_RIGHT_WALL_I,V15_2_ECO_RELEASE_RIGHT_WALL,ECO_RELEASE,-19.000,-15.000,-15.000,15.000,3058.000,3077.500,4.000,30.000,19.500,NEW_V15_2_GEOMETRY
